Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
abdicated,abdicated,0.14,Verb,9,9,4,abdicate,,,12.60,0.83,,,,
abdicates,abdicates,0.02,Noun,9,8,3,abdicate,,,12.60,0.83,,,,
abdicating,abdicating,0.06,Verb,10,9,4,abdicate,,,12.60,0.83,,,,
abdication,abdication,0.12,Noun,10,9,4,abdication,14.94,0.89,14.94,0.89,,,,
abdomen,abdomen,3.35,Noun,7,7,3,abdomen,8.61,1.00,8.61,1.00,,10.92,,
abdomens,abdomens,0.06,Noun,8,8,3,abdomen,,,8.61,1.00,,10.92,,
abdominal,abdominal,3.41,Adjective,9,9,4,abdominal,10.24,0.94,10.24,0.94,,,,
abduct,abduct,0.71,Verb,6,6,2,abduct,11.26,1.00,11.26,1.00,,,,9.49
abducted,abducted,5.00,Verb,8,8,3,abduct,,,11.26,1.00,,,,9.49
abducting,abducting,0.31,Verb,9,8,3,abduct,,,11.26,1.00,,,,9.49
abduction,abduction,3.63,Noun,9,8,3,abduction,11.94,1.00,11.94,1.00,,,,
abductions,abductions,0.82,Noun,10,9,3,abduction,,,11.94,1.00,,,,
abductor,abductor,0.35,Noun,8,7,3,abductor,11.11,1.00,11.11,1.00,,,,
abductors,abductors,0.22,Noun,9,8,3,abductor,,,11.11,1.00,,,,
abducts,abducts,0.16,Verb,7,7,2,abduct,,,11.26,1.00,,,,9.49
abeam,abeam,0.14,Noun,5,4,2,abeam,13.40,0.53,13.40,0.53,,,,
aberrant,aberrant,0.29,Adjective,8,7,3,aberrant,13.31,0.68,13.31,0.68,,,,
aberration,aberration,0.55,Noun,10,7,4,aberration,12.69,0.68,12.69,0.68,,,,
aberrations,aberrations,0.16,Noun,11,8,4,aberration,,,12.69,0.68,,,,
abet,abet,0.10,Verb,4,4,2,abet,12.15,0.72,12.15,0.72,,,,
abetted,abetted,0.16,Verb,7,6,3,abet,,,12.15,0.72,,,,
abetting,abetting,0.51,Verb,8,6,3,abet,,,12.15,0.72,,,,
abettor,abettor,0.02,Noun,7,5,3,abettor,15.55,0.58,15.55,0.58,,,,
abeyance,abeyance,0.04,Noun,8,6,3,abeyance,15.00,0.35,15.00,0.35,,,,
abhor,abhor,0.24,Verb,5,5,2,abhor,13.76,0.85,13.76,0.85,,,,
abhorred,abhorred,0.14,Verb,8,6,2,abhor,,,13.76,0.85,,,,
abhorrent,abhorrent,0.18,Adjective,9,8,3,abhorrent,12.14,0.78,12.14,0.78,,,,
abhors,abhors,0.08,Verb,6,6,2,abhor,,,13.76,0.85,,,,
abide,abide,2.71,Verb,5,4,2,abide,9.50,1.00,9.50,1.00,,10.49,,
abided,abided,0.06,Verb,6,6,3,abide,,,9.50,1.00,,10.49,,
abides,abides,0.08,Verb,6,5,2,abide,,,9.50,1.00,,10.49,,
abiding,abiding,0.49,Adjective,7,6,3,abiding,10.30,1.00,10.30,1.00,,,,
abilities,abilities,6.12,Noun,9,8,4,ability,,,8.84,1.00,,8.98,,
ability,ability,19.22,Noun,7,7,4,ability,8.84,1.00,8.84,1.00,,8.98,,
abject,abject,0.39,Adjective,6,6,2,abject,14.00,0.89,14.00,0.89,,,,
abjuration,abjuration,#N/A,#N/A,10,9,4,abjuration,17.12,0.38,17.12,0.38,,,,
abjure,abjure,0.02,Verb,6,5,2,abjure,14.60,0.53,14.60,0.53,,,,
ablation,ablation,0.02,Noun,8,7,3,ablation,13.29,0.39,13.29,0.39,,,,
ablaze,ablaze,0.41,Adjective,6,5,2,ablaze,10.83,0.95,10.83,0.95,,,,
able,able,159.90,Adjective,4,4,2,able,7.79,1.00,7.79,1.00,5.71,6.50,,6.33
abler,abler,0.02,Adjective,5,5,3,able,,,7.79,1.00,5.71,6.50,,6.33
ablest,ablest,0.04,Adjective,6,6,2,able,,,7.79,1.00,5.71,6.50,,6.33
ablution,ablution,0.06,Noun,8,9,4,ablution,13.64,0.58,13.64,0.58,,,,
ablutions,ablutions,0.08,Noun,9,9,4,ablution,,,13.64,0.58,,,,
abnormal,abnormal,2.90,Adjective,8,8,3,abnormal,10.05,1.00,10.05,1.00,,,,
abnormalities,abnormalities,0.49,Noun,13,12,5,abnormality,,,11.58,1.00,,,,
abnormality,abnormality,0.51,Noun,11,11,5,abnormality,11.58,1.00,11.58,1.00,,,,
aboard,aboard,26.63,Adverb,6,5,2,aboard,8.66,1.00,8.66,1.00,,6.94,,8.37
abode,abode,0.65,Noun,5,4,2,abode,12.06,0.94,12.06,0.94,,10.87,,12.11
abolish,abolish,0.47,Verb,7,6,3,abolish,10.42,0.95,10.42,0.95,,,,
abolished,abolished,0.39,Verb,9,7,3,abolish,,,10.42,0.95,,,,
abolishes,abolishes,0.02,Verb,9,8,4,abolish,,,10.42,0.95,,,,
abolishing,abolishing,0.04,Verb,10,8,4,abolish,,,10.42,0.95,,,,
abolition,abolition,0.20,Noun,9,8,4,abolition,13.28,1.00,13.28,1.00,,,,
abolitionism,abolitionism,0.02,Noun,12,12,6,abolitionism,11.78,0.95,11.78,0.95,,,,
abolitionist,abolitionist,0.22,Noun,12,11,5,abolitionist,12.60,0.83,12.60,0.83,,,,
abolitionists,abolitionists,0.25,Noun,13,12,5,abolitionist,,,12.60,0.83,,,,
abominable,abominable,0.63,Adjective,10,10,5,abominable,8.94,1.00,8.94,1.00,,,,
abominate,abominate,0.06,Verb,9,8,4,abominate,15.00,0.89,15.00,0.89,,,,
abomination,abomination,1.14,Noun,11,10,5,abomination,11.17,1.00,11.17,1.00,,,,
abominations,abominations,0.14,Noun,12,12,6,abomination,,,11.17,1.00,,,,
aboriginal,aboriginal,0.18,Adjective,10,9,5,aboriginal,14.75,0.84,14.75,0.84,,,,
aboriginals,aboriginals,0.02,Name,11,11,5,aboriginal,,,14.75,0.84,,,,
aborigine,aborigine,0.08,Noun,9,8,5,aborigine,12.56,0.89,12.56,0.89,,,,
aborigines,aborigines,0.18,Noun,10,9,5,aborigine,,,12.56,0.89,,,,
aborning,aborning,0.02,Verb,8,7,3,aborning,13.25,0.24,13.25,0.24,,,,
abort,abort,4.61,Verb,5,5,2,abort,12.21,1.00,12.21,1.00,,,,10.04
aborted,aborted,0.63,Verb,7,7,3,abort,,,12.21,1.00,,,,10.04
aborting,aborting,0.25,Verb,8,7,3,abort,,,12.21,1.00,,,,10.04
abortion,abortion,7.24,Noun,8,7,3,abortion,13.21,1.00,13.21,1.00,,,,
abortionist,abortionist,0.08,Noun,11,10,4,abortionist,15.00,0.95,15.00,0.95,,,,
abortionists,abortionists,0.02,Noun,12,11,4,abortionist,,,15.00,0.95,,,,
abortions,abortions,0.69,Noun,9,8,3,abortion,,,13.21,1.00,,,,
abortive,abortive,0.02,Adjective,8,7,3,abortive,13.93,0.78,13.93,0.78,,,,
aborts,aborts,0.02,Verb,6,6,2,abort,,,12.21,1.00,,,,10.04
abound,abound,0.35,Verb,6,5,2,abound,11.65,1.00,11.65,1.00,,,,
abounded,abounded,0.06,Verb,8,7,3,abound,,,11.65,1.00,,,,
abounding,abounding,0.08,Verb,9,7,3,abound,,,11.65,1.00,,,,
abounds,abounds,0.20,Verb,7,6,2,abound,,,11.65,1.00,,,,
about,about,3631.49,Preposition,5,4,2,about,5.07,1.00,5.07,1.00,4.81,,,6.00
above,above,48.88,Preposition,5,4,2,above,4.55,1.00,4.55,1.00,4.48,,,5.56
aboveboard,aboveboard,0.27,Noun,10,8,3,aboveboard,13.00,0.85,13.00,0.85,,,,
aboveground,aboveground,0.14,Adjective,11,9,3,aboveground,8.05,1.00,8.05,1.00,,,,
abovementioned,abovementioned,0.02,Adjective,14,11,4,abovementioned,14.24,0.89,14.24,0.89,,,,
abracadabra,abracadabra,1.04,Noun,11,11,5,abracadabra,6.89,1.00,6.89,1.00,,,,
abrade,abrade,0.02,Verb,6,5,2,abrade,14.00,0.44,14.00,0.44,,,,
abraded,abraded,0.10,Verb,7,7,3,abrade,,,14.00,0.44,,,,
abrasion,abrasion,0.35,Noun,8,7,3,abrasion,11.95,0.95,11.95,0.95,,,,
abrasions,abrasions,1.10,Noun,9,8,3,abrasion,,,11.95,0.95,,,,
abrasive,abrasive,0.45,Adjective,8,7,3,abrasive,12.22,1.00,12.22,1.00,,,,
abrasiveness,abrasiveness,0.04,Noun,12,10,4,abrasiveness,12.06,1.00,12.06,1.00,,,,
abrasives,abrasives,0.08,Verb,9,8,3,abrasive,,,12.22,1.00,,,,
abreaction,abreaction,0.02,Noun,10,9,4,abreaction,15.80,0.56,15.80,0.56,,,,
abreast,abreast,0.51,Adjective,7,6,2,abreast,13.06,0.89,13.06,0.89,,,,13.18
abridge,abridge,0.02,Noun,7,5,2,abridge,14.35,0.89,14.35,0.89,,,,
abridged,abridged,0.18,Adjective,8,6,2,abridged,12.56,0.89,12.56,0.89,,,,
abridgement,abridgement,0.02,Noun,11,9,3,abridgement,12.32,0.85,12.32,0.85,,12.58,,
abridging,abridging,0.04,Verb,9,7,3,abridge,,,14.35,0.89,,,,
abroad,abroad,4.90,Adverb,6,5,2,abroad,10.15,1.00,10.15,1.00,6.88,,,10.22
abrogate,abrogate,0.02,Verb,8,7,3,abrogate,15.22,0.47,15.22,0.47,,,,
abrogated,abrogated,0.04,Verb,9,9,4,abrogate,,,15.22,0.47,,,,
abrupt,abrupt,1.14,Adjective,6,6,2,abrupt,10.95,1.00,10.95,1.00,,10.94,,10.51
abruption,abruption,0.12,Noun,9,8,3,abruption,11.82,0.94,11.82,0.94,,,,
abruptness,abruptness,0.08,Noun,10,9,3,abruptness,12.39,1.00,12.39,1.00,,,,
abscess,abscess,0.49,Noun,7,5,2,abscess,13.11,0.90,13.11,0.90,,10.49,,
abscesses,abscesses,0.14,Noun,9,7,3,abscess,,,13.11,0.90,,10.49,,
abscond,abscond,0.10,Verb,7,7,2,abscond,13.36,0.74,13.36,0.74,,,,
absconded,absconded,0.10,Verb,9,9,3,abscond,,,13.36,0.74,,,,
absconder,absconder,0.02,Noun,9,9,3,absconder,16.62,0.68,16.62,0.68,,,,
absconders,absconders,0.04,Verb,10,10,3,absconder,,,16.62,0.68,,,,
absence,absence,6.31,Noun,7,6,2,absence,7.70,1.00,7.70,1.00,6.88,,,8.62
absences,absences,0.27,Noun,8,8,3,absence,,,7.70,1.00,6.88,,,8.62
absent,absent,2.57,Adjective,6,6,2,absent,6.50,1.00,6.50,1.00,6.11,,,7.34
absentee,absentee,0.35,Noun,8,7,3,absentee,11.00,0.94,11.00,0.94,,,,
absenteeism,absenteeism,0.10,Noun,11,11,5,absenteeism,13.43,0.78,13.43,0.78,,,,
absentees,absentees,0.08,Noun,9,8,3,absentee,,,11.00,0.94,,,,
absenting,absenting,0.04,Verb,9,8,3,absent,,,6.50,1.00,6.11,,,7.34
absentminded,absentminded,0.06,Adjective,12,12,4,absentminded,10.84,1.00,10.84,1.00,,,,
absentmindedness,absentmindedness,0.02,Noun,16,15,5,absentmindedness,9.61,1.00,9.61,1.00,,,,
absinthe,absinthe,0.55,Verb,8,6,2,absinthe,16.29,0.89,16.29,0.89,,,,
absinthes,absinthes,0.06,Noun,9,7,2,absinthe,,,16.29,0.89,,,,
absolute,absolute,11.31,Adjective,8,7,3,absolute,8.53,1.00,8.53,1.00,,,,
absolutely,absolutely,113.12,Adverb,10,9,4,absolutely,7.08,1.00,7.08,1.00,8.02,,,
absoluteness,absoluteness,0.02,Noun,12,10,4,absoluteness,12.68,0.95,12.68,0.95,,,,
absolutes,absolutes,0.41,Noun,9,8,3,absolute,,,8.53,1.00,,,,
absolution,absolution,0.94,Noun,10,9,4,absolution,11.71,0.94,11.71,0.94,,11.90,,
absolve,absolve,0.57,Verb,7,6,2,absolve,12.90,1.00,12.90,1.00,11.78,,,11.09
absolved,absolved,0.29,Verb,8,7,2,absolve,,,12.90,1.00,11.78,,,11.09
absolver,absolver,0.08,Noun,8,8,3,absolver,13.60,0.83,13.60,0.83,,,,
absolves,absolves,0.08,Verb,8,7,2,absolve,,,12.90,1.00,11.78,,,11.09
absolving,absolving,0.10,Verb,9,8,3,absolve,,,12.90,1.00,11.78,,,11.09
absorb,absorb,1.98,Verb,6,6,2,absorb,8.83,1.00,8.83,1.00,,8.69,,9.49
absorbed,absorbed,1.53,Verb,8,7,2,absorb,,,8.83,1.00,,8.69,,9.49
absorbent,absorbent,0.16,Adjective,9,9,3,absorbent,10.32,1.00,10.32,1.00,,,,
absorber,absorber,0.06,Noun,8,7,3,absorber,10.33,1.00,10.33,1.00,,,,
absorbers,absorbers,0.16,Noun,9,8,3,absorber,,,10.33,1.00,,,,
absorbing,absorbing,0.45,Verb,9,8,3,absorb,,,8.83,1.00,,8.69,,9.49
absorbs,absorbs,0.49,Verb,7,7,2,absorb,,,8.83,1.00,,8.69,,9.49
absorption,absorption,0.35,Noun,10,9,3,absorption,10.94,0.95,10.94,0.95,,,,
absorptions,absorptions,0.02,Noun,11,10,3,absorption,,,10.94,0.95,,,,
abstain,abstain,0.51,Verb,7,6,2,abstain,12.95,1.00,12.95,1.00,11.36,,,
abstained,abstained,0.08,Verb,9,7,2,abstain,,,12.95,1.00,11.36,,,
abstaining,abstaining,0.16,Verb,10,8,3,abstain,,,12.95,1.00,11.36,,,
abstains,abstains,0.04,Verb,8,7,2,abstain,,,12.95,1.00,11.36,,,
abstention,abstention,0.12,Noun,10,9,3,abstention,15.19,0.76,15.19,0.76,,,,
abstentions,abstentions,0.02,Noun,11,10,3,abstention,,,15.19,0.76,,,,
abstinence,abstinence,0.88,Noun,10,9,3,abstinence,12.74,1.00,12.74,1.00,,,,
abstract,abstract,2.18,Adjective,8,8,2,abstract,11.47,1.00,11.47,1.00,,,,10.51
abstracting,abstracting,0.02,Verb,11,10,3,abstract,,,11.47,1.00,,,,10.51
abstraction,abstraction,0.29,Noun,11,10,3,abstraction,13.65,0.94,13.65,0.94,,,,
abstractionist,abstractionist,0.02,Noun,14,13,4,abstractionist,14.72,0.95,14.72,0.95,,,,
abstractions,abstractions,0.10,Noun,12,11,3,abstraction,,,13.65,0.94,,,,
abstracts,abstracts,0.14,Noun,9,9,2,abstract,,,11.47,1.00,,,,10.51
abstruse,abstruse,0.06,Adjective,8,7,2,abstruse,14.60,0.50,14.60,0.50,,,,
absurd,absurd,9.71,Adjective,6,5,2,absurd,10.50,0.99,10.50,0.99,,10.36,,10.60
absurdist,absurdist,0.02,Noun,9,8,3,absurdist,13.00,0.57,13.00,0.57,,,,
absurdities,absurdities,0.12,Noun,11,9,4,absurdity,,,13.21,1.00,,,,
absurdity,absurdity,0.63,Noun,9,8,4,absurdity,13.21,1.00,13.21,1.00,,,,
abundance,abundance,0.88,Noun,9,8,3,abundance,10.45,1.00,10.45,1.00,,10.22,,
abundant,abundant,0.57,Adjective,8,8,3,abundant,12.84,1.00,12.84,1.00,,,,
abuse,abuse,10.25,Noun,5,5,2,abuse,8.61,1.00,8.61,1.00,10.68,,,8.20
abused,abused,4.53,Verb,6,6,2,abuse,,,8.61,1.00,10.68,,,8.20
abuser,abuser,0.31,Noun,6,6,3,abuser,9.94,1.00,9.94,1.00,,,,
abusers,abusers,0.22,Noun,7,7,3,abuser,,,9.94,1.00,,,,
abuses,abuses,0.49,Noun,6,7,3,abuse,,,8.61,1.00,10.68,,,8.20
abusing,abusing,1.20,Verb,7,7,3,abuse,,,8.61,1.00,10.68,,,8.20
abusive,abusive,1.63,Adjective,7,7,3,abusive,9.58,1.00,9.58,1.00,,,,
abusiveness,abusiveness,0.02,Noun,11,10,4,abusiveness,10.47,1.00,10.47,1.00,,,,
abut,abut,0.12,Verb,4,4,2,abut,13.11,0.43,13.11,0.43,,,,
abutment,abutment,0.12,Noun,8,8,3,abutment,15.33,0.50,15.33,0.50,,,,
abutments,abutments,0.02,Noun,9,9,3,abutment,,,15.33,0.50,,,,
abuts,abuts,0.04,Verb,5,5,2,abut,,,13.11,0.43,,,,
abuzz,abuzz,0.04,Noun,5,4,2,abuzz,13.00,0.78,13.00,0.78,,,,
abysm,abysm,#N/A,#N/A,5,6,3,abysm,15.25,0.19,15.25,0.19,,,,
abysmal,abysmal,0.41,Adjective,7,7,3,abysmal,13.78,0.95,13.78,0.95,,,,
abyss,abyss,1.76,Noun,5,4,2,abyss,11.00,1.00,11.00,1.00,,11.70,,12.22
abyssal,abyssal,0.02,Noun,7,6,3,abyssal,17.27,0.58,17.27,0.58,,,,
abysses,abysses,0.04,Noun,7,6,3,abyss,,,11.00,1.00,,11.70,,12.22
ac,ac,2.16,Abbreviation,2,3,2,ac,10.75,0.42,10.75,0.42,,,,
acacia,acacia,0.16,Noun,6,5,3,acacia,14.25,0.57,14.25,0.57,,,,
academe,academe,0.04,Noun,7,6,3,academe,13.27,0.75,13.27,0.75,,,,
academes,academes,0.02,Noun,8,7,3,academe,,,13.27,0.75,,,,
academia,academia,0.24,Noun,8,8,5,academia,13.74,0.95,13.74,0.95,,,,
academic,academic,4.67,Adjective,8,8,4,academic,9.74,1.00,9.74,1.00,,,,
academician,academician,0.02,Noun,11,10,5,academician,15.21,0.74,15.21,0.74,,,,
academicism,academicism,#N/A,#N/A,11,12,6,academicism,15.00,0.56,15.00,0.56,,,,
academics,academics,0.69,Noun,9,9,4,academic,,,9.74,1.00,,,,
academies,academies,0.14,Noun,9,8,4,academy,,,9.05,1.00,,,,
academy,academy,12.41,Noun,7,7,4,academy,9.05,1.00,9.05,1.00,,,,
acanthus,acanthus,0.02,Adjective,8,7,3,acanthus,15.17,0.33,15.17,0.33,,,,
accede,accede,0.14,Verb,6,5,2,accede,14.31,0.72,14.31,0.72,,,,
accelerando,accelerando,#N/A,#N/A,11,11,5,accelerando,14.50,0.20,14.50,0.20,,,,
accelerant,accelerant,0.55,Noun,10,9,4,accelerant,12.84,0.95,12.84,0.95,,,,
accelerate,accelerate,1.27,Verb,10,8,4,accelerate,10.74,1.00,10.74,1.00,,,,
accelerated,accelerated,0.96,Adjective,11,10,5,accelerated,10.11,1.00,10.11,1.00,,,,
accelerates,accelerates,0.10,Verb,11,9,4,accelerate,,,10.74,1.00,,,,
accelerating,accelerating,0.88,Verb,12,10,5,accelerate,,,10.74,1.00,,,,
acceleration,acceleration,0.86,Noun,12,10,5,acceleration,9.84,1.00,9.84,1.00,,10.54,,
accelerator,accelerator,1.35,Noun,11,9,5,accelerator,10.27,1.00,10.27,1.00,,,,
accelerators,accelerators,0.08,Noun,12,10,5,accelerator,,,10.27,1.00,,,,
accent,accent,12.18,Noun,6,6,2,accent,8.60,0.95,8.60,0.95,,7.09,,9.31
accented,accented,0.02,Verb,8,8,3,accent,,,8.60,0.95,,7.09,,9.31
accents,accents,1.14,Noun,7,7,2,accent,,,8.60,0.95,,7.09,,9.31
accentuate,accentuate,0.35,Verb,10,9,4,accentuate,13.24,0.85,13.24,0.85,,,,
accentuates,accentuates,0.08,Verb,11,10,4,accentuate,,,13.24,0.85,,,,
accentuating,accentuating,0.02,Verb,12,12,5,accentuate,,,13.24,0.85,,,,
accept,accept,52.78,Verb,6,6,2,accept,6.74,1.00,6.74,1.00,7.12,,,7.65
acceptable,acceptable,5.27,Adjective,10,10,4,acceptable,9.84,1.00,9.84,1.00,,,,
acceptance,acceptance,3.16,Noun,10,9,3,acceptance,8.56,1.00,8.56,1.00,,,,
acceptances,acceptances,0.04,Noun,11,11,4,acceptance,,,8.56,1.00,,,,
acceptant,acceptant,0.02,Noun,9,9,3,acceptant,11.89,0.95,11.89,0.95,,,,
accepted,accepted,15.71,Verb,8,8,3,accept,,,6.74,1.00,7.12,,,7.65
accepting,accepting,4.04,Verb,9,8,3,accept,,,6.74,1.00,7.12,,,7.65
accepts,accepts,2.08,Verb,7,7,2,accept,,,6.74,1.00,7.12,,,7.65
access,access,31.67,Noun,6,5,2,access,9.10,1.00,9.10,1.00,,9.24,,9.49
accessed,accessed,1.53,Verb,8,6,2,access,,,9.10,1.00,,9.24,,9.49
accesses,accesses,0.04,Verb,8,7,3,access,,,9.10,1.00,,9.24,,9.49
accessibility,accessibility,0.04,Noun,13,12,6,accessibility,11.05,1.00,11.05,1.00,,,,
accessible,accessible,1.10,Adjective,10,9,4,accessible,9.94,1.00,9.94,1.00,,,,
accessing,accessing,1.04,Verb,9,7,3,access,,,9.10,1.00,,9.24,,9.49
accession,accession,0.12,Noun,9,7,3,accession,12.25,0.80,12.25,0.80,,,,
accessories,accessories,1.49,Noun,11,8,4,accessory,,,11.15,1.00,,,,
accessorize,accessorise,0.35,Verb,11,8,4,accessorize,11.39,1.00,11.39,1.00,,,,
accessorized,accessorised,0.04,Verb,12,9,4,accessorize,,,11.39,1.00,,,,
accessorizing,accessorising,0.12,Verb,13,10,5,accessorize,,,11.39,1.00,,,,
accessory,accessory,2.88,Noun,9,7,4,accessory,11.15,1.00,11.15,1.00,,,,
accident,accident,81.29,Noun,8,8,3,accident,5.30,1.00,5.30,1.00,,6.64,,
accidental,accidental,3.00,Adjective,10,10,4,accidental,6.75,1.00,6.75,1.00,,,,
accidentals,accidentals,0.02,Noun,11,11,4,accidental,,,6.75,1.00,,,,
accidents,accidents,6.67,Noun,9,9,3,accident,,,5.30,1.00,,6.64,,
acclaim,acclaim,0.43,Noun,7,5,2,acclaim,12.11,1.00,12.11,1.00,,,,
acclaims,acclaims,0.04,Verb,8,6,2,acclaim,,,12.11,1.00,,,,
acclamation,acclamation,0.02,Noun,11,9,4,acclamation,14.00,1.00,14.00,1.00,,,,
acclimate,acclimate,0.16,Verb,9,7,3,acclimate,14.24,0.85,14.24,0.85,,,,
acclimates,acclimates,0.02,Verb,10,8,3,acclimate,,,14.24,0.85,,,,
acclimating,acclimating,0.06,Verb,11,9,4,acclimate,,,14.24,0.85,,,,
acclimatization,acclimatisation,0.02,Noun,15,13,6,acclimatization,16.12,0.80,16.12,0.80,,,,
acclimatize,acclimatise,0.02,Verb,11,9,4,acclimatize,14.00,0.80,14.00,0.80,,,,
accolade,accolade,0.02,Noun,8,6,3,accolade,12.43,0.70,12.43,0.70,,,,
accolades,accolades,0.18,Noun,9,7,3,accolade,,,12.43,0.70,,,,
accommodate,accommodate,2.14,Verb,11,8,4,accommodate,9.90,1.00,9.90,1.00,,,,
accommodated,accommodated,0.10,Verb,12,10,5,accommodate,,,9.90,1.00,,,,
accommodates,accommodates,0.06,Verb,12,9,4,accommodate,,,9.90,1.00,,,,
accommodating,accommodating,0.71,Verb,13,10,5,accommodate,,,9.90,1.00,,,,
accommodation,accommodation,0.94,Noun,13,10,5,accommodation,9.58,1.00,9.58,1.00,,10.54,,
accommodations,accommodations,1.67,Noun,14,11,5,accommodation,,,9.58,1.00,,10.54,,
accommodative,accommodative,0.02,Adjective,13,10,5,accommodative,15.18,1.00,15.18,1.00,,,,
accompanied,accompanied,2.06,Verb,11,9,4,accompany,,,10.75,1.00,,,,
accompanies,accompanies,0.25,Verb,11,9,4,accompany,,,10.75,1.00,,,,
accompaniment,accompaniment,0.29,Noun,13,11,4,accompaniment,11.18,0.94,11.18,0.94,,,,
accompanist,accompanist,0.20,Noun,11,10,4,accompanist,12.78,1.00,12.78,1.00,,,,
accompanists,accompanists,0.02,Noun,12,11,4,accompanist,,,12.78,1.00,,,,
accompany,accompany,4.75,Verb,9,8,4,accompany,10.75,1.00,10.75,1.00,,,,
accompanying,accompanying,0.92,Verb,12,10,5,accompany,,,10.75,1.00,,,,
accomplice,accomplice,4.24,Noun,10,8,3,accomplice,9.78,1.00,9.78,1.00,,,,
accomplices,accomplices,1.14,Noun,11,10,4,accomplice,,,9.78,1.00,,,,
accomplish,accomplish,5.84,Verb,10,8,3,accomplish,7.84,1.00,7.84,1.00,,,,
accomplished,accomplished,7.53,Verb,12,9,3,accomplish,,,7.84,1.00,,,,
accomplishes,accomplishes,0.14,Verb,12,10,4,accomplish,,,7.84,1.00,,,,
accomplishing,accomplishing,0.51,Verb,13,10,4,accomplish,,,7.84,1.00,,,,
accomplishment,accomplishment,1.88,Noun,14,12,4,accomplishment,9.00,1.00,9.00,1.00,,,,
accomplishments,accomplishments,1.59,Noun,15,13,4,accomplishment,,,9.00,1.00,,,,
accord,accord,1.63,Noun,6,5,2,accord,9.65,0.94,9.65,0.94,11.93,,,10.22
accordance,accordance,1.59,Preposition,10,8,3,accordance,11.75,1.00,11.75,1.00,,10.70,,
accorded,accorded,0.14,Verb,8,7,3,accord,,,9.65,0.94,11.93,,,10.22
according,according,41.86,Preposition,9,7,3,according,8.45,1.00,8.45,1.00,9.14,,,
accordion,accordion,1.31,Noun,9,8,4,accordion,8.61,1.00,8.61,1.00,,,,
accordions,accordions,0.06,Noun,10,9,4,accordion,,,8.61,1.00,,,,
